id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
662,2,1994,24,96.0,2,54,0
663,3,1994,38,100.0,0,52,1
664,4,1994,29,100.0,0,54,1
665,5,1994,32,100.0,3,45,0
666,6,1994,20,100.0,1,53,1
667,7,1994,21,100.0,1,51,0
668,8,1994,33,100.0,2,50,0
669,9,1994,30,100.0,1,49,1
670,10,1994,37,100.0,0,50,3
671,12,1994,48,100.0,0,47,2
672,13,1994,35,100.0,3,50,0
673,14,1994,33,100.0,0,42,0
674,15,1994,32,100.0,0,50,1
675,16,1994,27,96.4,1,52,1
676,18,1994,26,96.3,0,49,0
677,19,1994,39,97.5,0,49,2
678,30,1994,18,100.0,0,50,0
679,20,1994,41,95.4,0,50,1
680,22,1994,36,100.0,0,48,0
681,23,1994,31,100.0,1,51,1
682,24,1994,28,100.0,2,47,2
683,11,1994,30,93.8,1,54,1
684,26,1994,32,100.0,0,48,3
685,27,1994,25,96.2,3,50,0
686,28,1994,32,100.0,0,50,0
687,31,1994,30,100.0,1,51,0
688,0,1995,51,94.4,1,51,1
689,1,1995,45,100.0,0,47,1
690,2,1995,34,100.0,1,51,1
691,3,1995,33,94.3,0,51,0
692,4,1995,39,100.0,1,56,0
693,5,1995,26,100.0,1,47,0
694,6,1995,25,100.0,0,53,1
695,7,1995,19,100.0,0,55,1
696,8,1995,32,97.0,0,45,0
697,9,1995,34,91.9,0,49,0
698,10,1995,34,100.0,0,52,2
699,12,1995,46,95.8,0,45,0
700,13,1995,37,100.0,0,51,2
701,14,1995,32,97.0,0,43,1
702,15,1995,29,96.7,0,59,2
703,16,1995,28,100.0,1,51,3
704,17,1995,27,96.4,0,53,2
705,18,1995,24,100.0,0,50,0
706,19,1995,48,100.0,0,56,3
707,30,1995,33,100.0,2,53,0
708,20,1995,48,100.0,0,51,0
709,21,1995,27,96.4,0,52,2
710,22,1995,27,100.0,1,55,1
711,23,1995,39,97.5,0,46,0
712,24,1995,30,96.8,0,51,1
713,11,1995,33,100.0,0,52,0
714,26,1995,27,93.1,0,51,0
715,27,1995,40,100.0,0,49,1
716,28,1995,39,100.0,1,50,0
717,31,1995,44,100.0,1,51,0
718,0,1996,40,100.0,1,49,0
